Name,Team,Number,Position,Age,Height,Weight,College,Salary,random_date
Avery Bradley,Boston Celtics,0.0,PG,25.0,6-2,180.0,Texas,7730337.0,2014-01-31 00:00:00.000000000
Jae Crowder,Boston Celtics,99.0,SF,25.0,6-6,235.0,Marquette,6796117.0,2014-02-07 23:47:23.763676148
John Holland,Boston Celtics,30.0,SG,27.0,6-5,205.0,Boston University,,2014-02-15 23:34:47.527352297
R.J. Hunter,Boston Celtics,28.0,SG,22.0,6-5,185.0,Georgia State,1148640.0,2014-02-23 23:22:11.291028446
Jonas Jerebko,Boston Celtics,8.0,PF,29.0,6-10,231.0,,5000000.0,2014-03-03 23:09:35.054704595
Amir Johnson,Boston Celtics,90.0,PF,29.0,6-9,240.0,,12000000.0,2014-03-11 22:56:58.818380744
Jordan Mickey,Boston Celtics,55.0,PF,21.0,6-8,235.0,LSU,1170960.0,2014-03-19 22:44:22.582056892
Kelly Olynyk,Boston Celtics,41.0,C,25.0,7-0,238.0,Gonzaga,2165160.0,2014-03-27 22:31:46.345733041
Terry Rozier,Boston Celtics,12.0,PG,22.0,6-2,190.0,Louisville,1824360.0,2014-04-04 22:19:10.109409190
Marcus Smart,Boston Celtics,36.0,PG,22.0,6-4,220.0,Oklahoma State,3431040.0,2014-04-12 22:06:33.873085339
Jared Sullinger,Boston Celtics,7.0,C,24.0,6-9,260.0,Ohio State,2569260.0,2014-04-20 21:53:57.636761488
Isaiah Thomas,Boston Celtics,4.0,PG,27.0,5-9,185.0,Washington,6912869.0,2014-04-28 21:41:21.400437636
Evan Turner,Boston Celtics,11.0,SG,27.0,6-7,220.0,Ohio State,3425510.0,2014-05-06 21:28:45.164113785
James Young,Boston Celtics,13.0,SG,20.0,6-6,215.0,Kentucky,1749840.0,2014-05-14 21:16:08.927789934
Tyler Zeller,Boston Celtics,44.0,C,26.0,7-0,253.0,North Carolina,2616975.0,2014-05-22 21:03:32.691466082
Bojan Bogdanovic,Brooklyn Nets,44.0,SG,27.0,6-8,216.0,,3425510.0,2014-05-30 20:50:56.455142232
Markel Brown,Brooklyn Nets,22.0,SG,24.0,6-3,190.0,Oklahoma State,845059.0,2014-06-07 20:38:20.218818380
Wayne Ellington,Brooklyn Nets,21.0,SG,28.0,6-4,200.0,North Carolina,1500000.0,2014-06-15 20:25:43.982494528
Rondae Hollis-Jefferson,Brooklyn Nets,24.0,SG,21.0,6-7,220.0,Arizona,1335480.0,2014-06-23 20:13:07.746170678
Jarrett Jack,Brooklyn Nets,2.0,PG,32.0,6-3,200.0,Georgia Tech,6300000.0,2014-07-01 20:00:31.509846826
Sergey Karasev,Brooklyn Nets,10.0,SG,22.0,6-7,208.0,,1599840.0,2014-07-09 19:47:55.273522976
Sean Kilpatrick,Brooklyn Nets,6.0,SG,26.0,6-4,219.0,Cincinnati,134215.0,2014-07-17 19:35:19.037199124
